Step,Timestamp,Baseline Energy (kWh),AI Closed-Loop Energy (kWh),Baseline Temp (°C),AI Closed-Loop Temp (°C),Baseline PMV,AI PMV,Carbon Intensity (gCO2/kWh),Baseline Carbon (g),AI Carbon (g)
279,2026-07-25 23:10:00,1.095,0.528,20.86,15.74,-0.203,-1.13,381.1,417.3,201.22
280,2026-07-25 23:15:00,1.107,0.542,20.85,15.73,-0.217,-1.122,379.1,419.66,205.47
281,2026-07-25 23:20:00,1.119,0.555,20.84,15.72,-0.205,-1.124,377.1,421.97,209.29
282,2026-07-25 23:25:00,1.131,0.568,20.83,15.72,-0.216,-1.139,375.1,424.24,213.06
283,2026-07-25 23:30:00,1.142,0.579,20.82,15.71,-0.207,-1.128,373.1,426.08,216.02
284,2026-07-25 23:35:00,1.154,0.591,20.82,15.7,-0.205,-1.134,371.0,428.13,219.26
285,2026-07-25 23:40:00,1.164,0.601,20.81,15.69,-0.217,-1.128,368.8,429.28,221.65
286,2026-07-25 23:45:00,1.175,0.612,20.8,15.68,-0.217,-1.131,366.7,430.87,224.42
287,2026-07-25 23:50:00,1.185,0.622,20.79,15.68,-0.215,-1.138,364.5,431.93,226.72
288,2026-07-25 23:55:00,1.195,0.632,20.79,15.67,-0.224,-1.135,362.3,432.95,228.97
